Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2022/07/01 00:00:00;2022/07/01 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02004;Martigues P. Central;Urbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.4;0.4;µg-m3;92.0;100;92.0;R;1;43.416661;5.042731
2022/07/01 00:00:00;2022/07/01 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02006;Martigues Laurons;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;14.5;14.45;µg-m3;100.0;100;100.0;R;1;43.358982;5.023388
2022/07/01 00:00:00;2022/07/01 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02007;Martigues La Gatasse;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;2.4;2.4;µg-m3;92.0;100;92.0;R;1;43.360692;5.058139
2022/07/01 00:00:00;2022/07/01 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02008;Port de Bouc Leque;Urbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;12.5;12.45;µg-m3;92.0;100;92.0;R;1;43.401952;4.981919
2022/07/01 00:00:00;2022/07/01 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02011;Fos sur Mer;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;3.2;3.225;µg-m3;96.0;100;96.0;R;1;43.437858;4.945116
2022/07/01 00:00:00;2022/07/01 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02013;Fos Les Carabins;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.8;1.75;µg-m3;100.0;100;100.0;R;1;43.458927;4.934572
2022/07/01 00:00:00;2022/07/01 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02021;Sausset les Pins;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.8;1.8;µg-m3;96.0;100;96.0;R;1;43.331245;5.117696
2022/07/01 00:00:00;2022/07/01 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02028;Martigues Lavera;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;3.8;3.76667;µg-m3;100.0;100;100.0;R;1;43.386564;5.026868
2022/07/01 00:00:00;2022/07/01 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03043;MARSEILLE 5 AVENUES;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;3.3;3.3;µg-m3;92.0;100;92.0;R;1;43.305287;5.394716
2022/07/01 00:00:00;2022/07/01 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05010;St Romain de Colbosc;Périurbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;3.3;3.25;µg-m3;100.0;100;100.0;A;1;49.528927;0.358733
2022/07/01 00:00:00;2022/07/01 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05037;Caucriauville;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;9.5;9.45;µg-m3;100.0;100;100.0;A;1;49.503906;0.175731
2022/07/01 00:00:00;2022/07/01 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR05040;Honfleur Sce Tech.;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.7;0.65;µg-m3;100.0;100;100.0;A;1;49.415108;0.2437
2022/07/01 00:00:00;2022/07/01 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05056;Quillebeuf Phare;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;3.9;3.925;µg-m3;100.0;100;100.0;A;1;49.47372;0.526158
2022/07/01 00:00:00;2022/07/01 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05069;Tancarville Mairie;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;5.0;4.975;µg-m3;100.0;100;100.0;A;1;49.487682;0.451756
2022/07/01 00:00:00;2022/07/01 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05070;Harfleur Ecole Coty;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;2.2;2.16667;µg-m3;96.0;100;96.0;R;1;49.505;0.201694
2022/07/01 00:00:00;2022/07/01 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05072;Sainte Adresse;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;2.1;2.125;µg-m3;100.0;100;100.0;A;1;49.50386;0.084614
2022/07/01 00:00:00;2022/07/01 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05074;Le Havre Ec. Herriot;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;2.0;1.975;µg-m3;100.0;100;100.0;A;1;49.48963;0.100703
